"Name","Total Time","Total Time (CPU)","Hits"
"            java.lang.ClassLoader.defineClass (String, byte[], int, int, java.security.ProtectionDomain)","10.2 ms (-0%)","10.2 ms (-0%)","1"
"             java.lang.ClassLoader.defineClass1[native] (String, byte[], int, int, java.security.ProtectionDomain, String)","10.2 ms (-0%)","10.2 ms (-0%)","1"
"             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  java.util.Scanner.<init> (java.io.InputStream)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"   java.util.Scanner.<init> (Readable, java.util.regex.Pattern)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"    java.util.Scanner.useLocale (java.util.Locale)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"     java.text.NumberFormat.getNumberInstance (java.util.Locale)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"      java.text.NumberFormat.getInstance (java.util.Locale, int)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"       java.text.NumberFormat.getInstance (sun.util.locale.provider.LocaleProviderAdapter, java.util.Locale, int)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"        sun.util.locale.provider.NumberFormatProviderImpl.getNumberInstance (java.util.Locale)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"         sun.util.locale.provider.NumberFormatProviderImpl.getInstance (java.util.Locale, int)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"          sun.util.locale.provider.LocaleResources.getNumberPatterns ()","10.0 ms (-0%)","10.0 ms (-0%)","1"
"           java.util.ResourceBundle.getStringArray (String)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"            java.util.ResourceBundle.getObject (String)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"             java.util.ResourceBundle.getObject (String)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"              sun.util.resources.ParallelListResourceBundle.handleGetObject (String)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"               sun.util.resources.ParallelListResourceBundle.loadLookupTablesIfNecessary ()","10.0 ms (-0%)","10.0 ms (-0%)","1"
"                sun.text.resources.es.FormatData_es.getContents ()","10.0 ms (-0%)","10.0 ms (-0%)","1"
"                Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  java.util.Scanner.<clinit> ()","9.98 ms (-0%)","9.98 ms (-0%)","1"
"   java.util.regex.Pattern.compile (String)","9.98 ms (-0%)","9.98 ms (-0%)","1"
"    java.util.regex.Pattern.<init> (String, int)","9.98 ms (-0%)","9.98 ms (-0%)","1"
"     java.util.regex.Pattern.compile ()","9.98 ms (-0%)","9.98 ms (-0%)","1"
"      java.util.regex.Pattern.expr (java.util.regex.Pattern.Node)","9.98 ms (-0%)","9.98 ms (-0%)","1"
"       java.util.regex.Pattern.sequence (java.util.regex.Pattern.Node)","9.98 ms (-0%)","9.98 ms (-0%)","1"
"        java.util.regex.Pattern.family (boolean, boolean)","9.98 ms (-0%)","9.98 ms (-0%)","1"
"         java.util.regex.Pattern.charPropertyNodeFor (String)","9.98 ms (-0%)","9.98 ms (-0%)","1"
"          java.util.regex.Pattern$CharPropertyNames.<clinit> ()","9.98 ms (-0%)","9.98 ms (-0%)","1"
"          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
" org.netbeans.lib.profiler.server.ProfilerServer.activate (String, int, int, int)","133 ms (-0%)","0.0 ms (0%)","1"
"  org.netbeans.lib.profiler.server.ProfilerServer.doActivate (int)","133 ms (-0%)","0.0 ms (0%)","1"
"   org.netbeans.lib.profiler.server.ProfilerServer.delay (int)","133 ms (-0%)","0.0 ms (0%)","1"
"    java.lang.Thread.sleep[native] (long)","133 ms (-0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
" sun.misc.PostVMInitHook.run ()","10.0 ms (-0%)","10.0 ms (-0%)","1"
"  sun.misc.PostVMInitHook.trackJavaUsage ()","10.0 ms (-0%)","10.0 ms (-0%)","1"
"   sun.usagetracker.UsageTrackerClient.run (String, String)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"    java.security.AccessController.doPrivileged[native] (java.security.PrivilegedAction)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"     sun.usagetracker.UsageTrackerClient$4.run ()","10.0 ms (-0%)","10.0 ms (-0%)","1"
"      sun.usagetracker.UsageTrackerClient$4.run ()","10.0 ms (-0%)","10.0 ms (-0%)","1"
"       sun.usagetracker.UsageTrackerClient.access$000 (sun.usagetracker.UsageTrackerClient, long)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"        sun.usagetracker.UsageTrackerClient.setupAndTimestamp (long)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"         sun.usagetracker.UsageTrackerClient.getConfigFilePrivileged ()","10.0 ms (-0%)","10.0 ms (-0%)","1"
"          sun.usagetracker.UsageTrackerClient.getOSSpecificConfigFilePath ()","10.0 ms (-0%)","10.0 ms (-0%)","1"
"           sun.usagetracker.UsageTrackerClient.getEnvPrivileged (String)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"            java.security.AccessController.doPrivileged[native] (java.security.PrivilegedAction)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"             sun.usagetracker.UsageTrackerClient$2.run ()","10.0 ms (-0%)","10.0 ms (-0%)","1"
"              sun.usagetracker.UsageTrackerClient$2.run ()","10.0 ms (-0%)","10.0 ms (-0%)","1"
"               java.lang.System.getenv (String)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"                java.lang.ProcessEnvironment.<clinit> ()","10.0 ms (-0%)","10.0 ms (-0%)","1"
"                 java.util.TreeMap.putAll (java.util.Map)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"                  java.util.AbstractMap.putAll (java.util.Map)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"                   java.lang.ProcessEnvironment.entrySet ()","10.0 ms (-0%)","10.0 ms (-0%)","1"
"                   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                 Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
" sun.launcher.LauncherHelper.checkAndLoadMain (boolean, int, String)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"  java.lang.ClassLoader.loadClass (String)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"   sun.misc.Launcher$AppClassLoader.loadClass (String, boolean)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"    java.lang.ClassLoader.loadClass (String, boolean)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"     java.net.URLClassLoader.findClass (String)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"      java.security.AccessController.doPrivileged[native] (java.security.PrivilegedExceptionAction, java.security.AccessControlContext)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"       java.net.URLClassLoader$1.run ()","10.0 ms (-0%)","10.0 ms (-0%)","1"
"        java.net.URLClassLoader$1.run ()","10.0 ms (-0%)","10.0 ms (-0%)","1"
"         java.net.URLClassLoader.access$100 (java.net.URLClassLoader, String, sun.misc.Resource)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"          java.net.URLClassLoader.defineClass (String, sun.misc.Resource)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"           sun.misc.Resource.getByteBuffer ()","10.0 ms (-0%)","10.0 ms (-0%)","1"
"            sun.misc.Resource.cachedInputStream ()","10.0 ms (-0%)","10.0 ms (-0%)","1"
"             sun.misc.URLClassPath$FileLoader$1.getInputStream ()","10.0 ms (-0%)","10.0 ms (-0%)","1"
"              java.io.FileInputStream.<init> (java.io.File)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"               java.io.FileInputStream.open (String)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"                java.io.FileInputStream.open0[native] (String)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"                Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"Finalizer","0.0 ms (0%)","0.0 ms (0%)","1"
" java.lang.ref.Finalizer$FinalizerThread.run ()","0.0 ms (0%)","0.0 ms (0%)","1"
"  java.lang.ref.ReferenceQueue.remove ()","0.0 ms (0%)","0.0 ms (0%)","1"
"   java.lang.ref.ReferenceQueue.remove (long)","0.0 ms (0%)","0.0 ms (0%)","1"
"    java.lang.Object.wait[native] (long)","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"Reference Handler","0.0 ms (0%)","0.0 ms (0%)","1"
" java.lang.ref.Reference$ReferenceHandler.run ()","0.0 ms (0%)","0.0 ms (0%)","1"
"  java.lang.ref.Reference.tryHandlePending (boolean)","0.0 ms (0%)","0.0 ms (0%)","1"
"   java.lang.Object.wait ()","0.0 ms (0%)","0.0 ms (0%)","1"
"    java.lang.Object.wait[native] (long)","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"DestroyJavaVM","0.0 ms (0%)","0.0 ms (0%)","1"
" java.lang.Shutdown.shutdown ()","0.0 ms (0%)","0.0 ms (0%)","1"
"  java.lang.Shutdown.sequence ()","0.0 ms (0%)","0.0 ms (0%)","1"
"   java.lang.Shutdown.runHooks ()","0.0 ms (0%)","0.0 ms (0%)","1"
"    java.lang.ApplicationShutdownHooks$1.run ()","0.0 ms (0%)","0.0 ms (0%)","1"
"     java.lang.ApplicationShutdownHooks.runHooks ()","0.0 ms (0%)","0.0 ms (0%)","1"
"      java.lang.Thread.join ()","0.0 ms (0%)","0.0 ms (0%)","1"
"       java.lang.Thread.join (long)","0.0 ms (0%)","0.0 ms (0%)","1"
"        java.lang.Object.wait[native] (long)","0.0 ms (0%)","0.0 ms (0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
